index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 1, 3, 2, 1, 2, 0, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 1, 2, 2, 3, 2, 5, 7, 10, 13, 12, 18, 24, 31, 33, 45, 43, 49, 49, 48, 45, 45, 41, 37, 36, 32, 28, 28, 20, 18, 18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 2, 3, 0, 4, 3, 5, 7, 9, 12, 16, 23, 24, 32, 30, 34, 42, 40, 39, 41, 41, 38, 36, 30, 38, 38, 34, 31, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 1, 3, 2, 1, 1, 3, 1, 1, 0, 1, 0, 1, 2, 1, 1, 2, 2, 1, 2, 2, 5, 4, 8, 6, 10, 16, 15, 19, 24, 33, 37, 35, 34, 44, 34, 41, 38, 31, 32, 26, 29, 27, 21, 15, 17, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 3, 2, 4, 2, 1, 2, 2, 2, 1, 2, 1, 0, 1, 1, 1, 1, 1, 1, 2, 4, 7, 5, 8, 13, 15, 22, 30, 29, 38, 36, 44, 38, 39, 42, 37, 28, 30, 26, 23, 21, 20, 17, 22, 15, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 3, 3, 4, 4, 7, 7, 12, 15, 22, 29, 25, 33, 45, 50, 49, 43, 44, 46, 43, 40, 39, 38, 42, 40, 37, 28, 32, 25, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 4, 4, 8, 9, 14, 17, 21, 21, 36, 42, 41, 42, 45, 45, 48, 38, 42, 33, 35, 30, 28, 33, 30, 31, 29, 24, 23, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 2, 2, 2, 2, 4, 4, 5, 4, 10, 12, 17, 24, 24, 25, 32, 36, 40, 45, 50, 46, 46, 47, 46, 46, 41, 39, 26, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 1, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 0, 1, 1, 1, 2, 1, 3, 4, 6, 7, 6, 13, 16, 21, 24, 36, 39, 47, 45, 55, 53, 49, 51, 50, 47, 41, 38, 38, 33, 28, 31, 25, 18, 18, 18, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd17milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 1, 3, 2, 1, 2, 0, 1, 1, 2, 2, 0, 1, 1, 1, 1, 0, 1, 2, 2, 3, 2, 5, 7, 10, 13, 12, 18, 24, 31, 33, 45, 43, 49, 49, 48, 45, 45, 41, 37, 36, 32, 28, 28, 20, 18, 18, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd38milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 1, 2, 2, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 2, 2, 2, 3, 0, 4, 3, 5, 7, 9, 12, 16, 23, 24, 32, 30, 34, 42, 40, 39, 41, 41, 38, 36, 30, 38, 38, 34, 31, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
