index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 3, 2, 6, 4, 4, 5, 4, 5, 6, 9, 12, 10, 17, 24, 27, 37, 48, 89, 96, 145, 184, 246, 339, 388, 462, 505, 526, 518, 503, 425, 375, 346, 274, 256, 215, 197, 174, 171, 159, 159, 154, 155, 158, 157, 156, 162, 168, 33, 39, 39, 34, 28, 15, 15, 12, 10, 
ve30vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 5, 4, 5, 4, 3, 4, 6, 5, 5, 6, 10, 9, 12, 16, 16, 26, 42, 57, 73, 106, 140, 174, 227, 274, 328, 320, 358, 376, 385, 353, 358, 355, 333, 307, 308, 297, 299, 273, 233, 200, 194, 185, 170, 159, 154, 147, 17, 22, 20, 16, 16, 10, 7, 6, 4, 
ve70vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 4, 4, 4, 3, 3, 8, 6, 6, 8, 11, 11, 15, 23, 22, 36, 50, 66, 73, 125, 149, 187, 249, 276, 312, 353, 350, 361, 343, 295, 275, 234, 191, 169, 155, 134, 115, 105, 96, 95, 85, 91, 89, 94, 83, 93, 89, 19, 20, 17, 15, 15, 8, 7, 7, 4, 
ve70vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 7, 5, 5, 6, 4, 5, 7, 6, 9, 10, 10, 14, 20, 32, 33, 59, 74, 108, 148, 200, 247, 303, 350, 391, 401, 381, 357, 341, 305, 264, 207, 194, 180, 158, 164, 158, 161, 182, 189, 206, 223, 231, 225, 231, 206, 202, 24, 23, 25, 21, 16, 12, 10, 7, 4, 
ve30vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 4, 5, 4, 5, 6, 5, 6, 8, 6, 11, 8, 14, 18, 26, 37, 51, 78, 95, 137, 197, 238, 312, 362, 422, 445, 428, 410, 391, 321, 321, 306, 300, 275, 266, 246, 241, 217, 182, 176, 156, 150, 154, 147, 133, 135, 142, 140, 26, 24, 24, 18, 19, 12, 7, 7, 3, 
ve30vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 3, 3, 6, 4, 7, 4, 6, 8, 8, 8, 17, 17, 19, 32, 38, 51, 82, 110, 166, 185, 272, 324, 382, 396, 425, 398, 377, 312, 283, 259, 233, 201, 207, 213, 237, 232, 257, 265, 267, 262, 227, 225, 216, 200, 192, 199, 179, 190, 36, 31, 36, 32, 26, 19, 12, 10, 5, 
ve70vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 3, 5, 3, 4, 4, 3, 6, 4, 6, 6, 6, 9, 9, 13, 13, 22, 29, 39, 62, 80, 112, 152, 192, 256, 305, 342, 377, 398, 412, 427, 408, 413, 409, 388, 341, 293, 242, 217, 193, 166, 158, 138, 139, 138, 121, 130, 19, 19, 16, 12, 10, 13, 5, 4, 4, 
ve70vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 5, 5, 5, 8, 6, 7, 10, 14, 17, 20, 31, 37, 52, 75, 111, 128, 181, 239, 301, 369, 419, 444, 469, 469, 452, 425, 405, 361, 334, 302, 256, 226, 195, 180, 174, 155, 148, 152, 149, 142, 157, 151, 138, 160, 176, 179, 28, 34, 28, 32, 24, 17, 13, 12, 6, 
ve30vtd17milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 3, 2, 6, 4, 4, 5, 4, 5, 6, 9, 12, 10, 17, 24, 27, 37, 48, 89, 96, 145, 184, 246, 339, 388, 462, 505, 526, 518, 503, 425, 375, 346, 274, 256, 215, 197, 174, 171, 159, 159, 154, 155, 158, 157, 156, 162, 168, 33, 39, 39, 34, 28, 15, 15, 12, 10, 
ve30vtd38milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 5, 4, 5, 4, 3, 4, 6, 5, 5, 6, 10, 9, 12, 16, 16, 26, 42, 57, 73, 106, 140, 174, 227, 274, 328, 320, 358, 376, 385, 353, 358, 355, 333, 307, 308, 297, 299, 273, 233, 200, 194, 185, 170, 159, 154, 147, 17, 22, 20, 16, 16, 10, 7, 6, 4, 
ve70vtd17milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 4, 4, 4, 3, 3, 8, 6, 6, 8, 11, 11, 15, 23, 22, 36, 50, 66, 73, 125, 149, 187, 249, 276, 312, 353, 350, 361, 343, 295, 275, 234, 191, 169, 155, 134, 115, 105, 96, 95, 85, 91, 89, 94, 83, 93, 89, 19, 20, 17, 15, 15, 8, 7, 7, 4, 
ve70vtd38milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 7, 5, 5, 6, 4, 5, 7, 6, 9, 10, 10, 14, 20, 32, 33, 59, 74, 108, 148, 200, 247, 303, 350, 391, 401, 381, 357, 341, 305, 264, 207, 194, 180, 158, 164, 158, 161, 182, 189, 206, 223, 231, 225, 231, 206, 202, 24, 23, 25, 21, 16, 12, 10, 7, 4, 
ve30vtd17active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 3, 2, 6, 4, 4, 5, 4, 5, 6, 9, 12, 10, 17, 24, 27, 37, 48, 89, 96, 145, 184, 246, 339, 388, 462, 505, 526, 518, 503, 425, 375, 346, 274, 256, 215, 197, 174, 171, 159, 159, 154, 155, 158, 157, 156, 162, 168, 33, 39, 39, 34, 28, 15, 15, 12, 10, 
ve30vtd38active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 5, 4, 5, 4, 3, 4, 6, 5, 5, 6, 10, 9, 12, 16, 16, 26, 42, 57, 73, 106, 140, 174, 227, 274, 328, 320, 358, 376, 385, 353, 358, 355, 333, 307, 308, 297, 299, 273, 233, 200, 194, 185, 170, 159, 154, 147, 17, 22, 20, 16, 16, 10, 7, 6, 4, 
ve70vtd17active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 4, 4, 4, 3, 3, 8, 6, 6, 8, 11, 11, 15, 23, 22, 36, 50, 66, 73, 125, 149, 187, 249, 276, 312, 353, 350, 361, 343, 295, 275, 234, 191, 169, 155, 134, 115, 105, 96, 95, 85, 91, 89, 94, 83, 93, 89, 19, 20, 17, 15, 15, 8, 7, 7, 4, 
ve70vtd38active/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 7, 5, 5, 6, 4, 5, 7, 6, 9, 10, 10, 14, 20, 32, 33, 59, 74, 108, 148, 200, 247, 303, 350, 391, 401, 381, 357, 341, 305, 264, 207, 194, 180, 158, 164, 158, 161, 182, 189, 206, 223, 231, 225, 231, 206, 202, 24, 23, 25, 21, 16, 12, 10, 7, 4, 
ve30vtd17allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 4, 5, 4, 5, 6, 5, 6, 8, 6, 11, 8, 14, 18, 26, 37, 51, 78, 95, 137, 197, 238, 312, 362, 422, 445, 428, 410, 391, 321, 321, 306, 300, 275, 266, 246, 241, 217, 182, 176, 156, 150, 154, 147, 133, 135, 142, 140, 26, 24, 24, 18, 19, 12, 7, 7, 3, 
ve30vtd38allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 3, 3, 6, 4, 7, 4, 6, 8, 8, 8, 17, 17, 19, 32, 38, 51, 82, 110, 166, 185, 272, 324, 382, 396, 425, 398, 377, 312, 283, 259, 233, 201, 207, 213, 237, 232, 257, 265, 267, 262, 227, 225, 216, 200, 192, 199, 179, 190, 36, 31, 36, 32, 26, 19, 12, 10, 5, 
ve70vtd17allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 3, 5, 3, 4, 4, 3, 6, 4, 6, 6, 6, 9, 9, 13, 13, 22, 29, 39, 62, 80, 112, 152, 192, 256, 305, 342, 377, 398, 412, 427, 408, 413, 409, 388, 341, 293, 242, 217, 193, 166, 158, 138, 139, 138, 121, 130, 19, 19, 16, 12, 10, 13, 5, 4, 4, 
ve70vtd38allonpost/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 5, 5, 5, 8, 6, 7, 10, 14, 17, 20, 31, 37, 52, 75, 111, 128, 181, 239, 301, 369, 419, 444, 469, 469, 452, 425, 405, 361, 334, 302, 256, 226, 195, 180, 174, 155, 148, 152, 149, 142, 157, 151, 138, 160, 176, 179, 28, 34, 28, 32, 24, 17, 13, 12, 6, 
ve30vtd17milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 3, 2, 6, 4, 4, 5, 4, 5, 6, 9, 12, 10, 17, 24, 27, 37, 48, 89, 96, 145, 184, 246, 339, 388, 462, 505, 526, 518, 503, 425, 375, 346, 274, 256, 215, 197, 174, 171, 159, 159, 154, 155, 158, 157, 156, 162, 168, 33, 39, 39, 34, 28, 15, 15, 12, 10, 
ve30vtd38milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 5, 4, 5, 4, 3, 4, 6, 5, 5, 6, 10, 9, 12, 16, 16, 26, 42, 57, 73, 106, 140, 174, 227, 274, 328, 320, 358, 376, 385, 353, 358, 355, 333, 307, 308, 297, 299, 273, 233, 200, 194, 185, 170, 159, 154, 147, 17, 22, 20, 16, 16, 10, 7, 6, 4, 
ve70vtd17milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 4, 4, 4, 3, 3, 8, 6, 6, 8, 11, 11, 15, 23, 22, 36, 50, 66, 73, 125, 149, 187, 249, 276, 312, 353, 350, 361, 343, 295, 275, 234, 191, 169, 155, 134, 115, 105, 96, 95, 85, 91, 89, 94, 83, 93, 89, 19, 20, 17, 15, 15, 8, 7, 7, 4, 
ve70vtd38milworkers/ate87atl30apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 7, 5, 5, 6, 4, 5, 7, 6, 9, 10, 10, 14, 20, 32, 33, 59, 74, 108, 148, 200, 247, 303, 350, 391, 401, 381, 357, 341, 305, 264, 207, 194, 180, 158, 164, 158, 161, 182, 189, 206, 223, 231, 225, 231, 206, 202, 24, 23, 25, 21, 16, 12, 10, 7, 4, 
ve30vtd17active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 3, 5, 3, 5, 5, 4, 4, 6, 8, 7, 12, 14, 20, 28, 40, 60, 73, 109, 130, 181, 211, 262, 293, 339, 367, 384, 418, 435, 424, 425, 385, 350, 300, 265, 232, 201, 183, 158, 146, 129, 132, 127, 126, 119, 122, 19, 23, 19, 18, 14, 9, 7, 6, 4, 
ve30vtd38active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 2, 3, 5, 5, 4, 7, 7, 8, 10, 15, 16, 24, 37, 41, 58, 82, 111, 133, 175, 215, 229, 278, 288, 307, 337, 343, 365, 354, 372, 377, 364, 358, 350, 316, 282, 257, 225, 200, 177, 170, 153, 157, 142, 153, 162, 147, 30, 28, 28, 28, 21, 12, 12, 9, 6, 
ve70vtd17active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 3, 3, 3, 3, 3, 5, 3, 5, 6, 6, 12, 17, 17, 30, 41, 51, 79, 92, 111, 160, 180, 223, 246, 283, 276, 304, 332, 303, 284, 274, 261, 245, 230, 205, 190, 158, 145, 133, 127, 120, 118, 119, 121, 136, 145, 158, 14, 17, 18, 14, 11, 9, 5, 4, 3, 
ve70vtd38active/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 3, 5, 3, 3, 4, 6, 3, 5, 4, 9, 10, 9, 16, 26, 31, 44, 62, 84, 117, 169, 212, 300, 330, 415, 461, 475, 481, 469, 452, 417, 380, 337, 291, 256, 226, 193, 171, 151, 144, 141, 124, 125, 121, 130, 141, 139, 25, 25, 27, 26, 20, 11, 9, 8, 5, 
ve30vtd17allonpost/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 4, 5, 6, 4, 8, 7, 9, 12, 19, 23, 30, 40, 63, 90, 111, 154, 213, 251, 305, 366, 376, 406, 409, 400, 414, 385, 373, 373, 317, 295, 272, 253, 216, 200, 178, 175, 166, 157, 158, 142, 159, 156, 164, 164, 166, 30, 31, 34, 29, 24, 14, 10, 10, 8, 
ve30vtd38allonpost/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 5, 3, 3, 4, 4, 8, 9, 10, 10, 15, 24, 31, 39, 51, 82, 110, 146, 204, 257, 326, 373, 407, 448, 432, 402, 382, 351, 324, 329, 303, 284, 268, 241, 208, 187, 174, 163, 154, 135, 139, 138, 139, 131, 138, 133, 147, 23, 23, 23, 26, 16, 11, 10, 6, 4, 
ve70vtd17allonpost/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 5, 5, 4, 4, 4, 5, 7, 7, 8, 14, 14, 22, 31, 43, 54, 73, 118, 152, 206, 257, 341, 388, 433, 463, 449, 433, 419, 380, 364, 340, 302, 272, 241, 224, 207, 184, 159, 157, 150, 149, 146, 138, 143, 137, 155, 149, 28, 32, 30, 25, 18, 15, 12, 9, 7, 
ve70vtd38allonpost/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 1, 4, 3, 4, 3, 2, 4, 3, 5, 3, 4, 9, 9, 13, 17, 22, 33, 48, 67, 87, 130, 174, 222, 286, 340, 369, 430, 445, 437, 466, 422, 415, 388, 351, 303, 267, 227, 204, 170, 168, 155, 140, 139, 130, 133, 134, 135, 23, 21, 21, 21, 14, 10, 8, 5, 5, 
ve30vtd17milworkers/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 3, 5, 3, 5, 5, 4, 4, 6, 8, 7, 12, 14, 20, 28, 40, 60, 73, 109, 130, 181, 211, 262, 293, 339, 367, 384, 418, 435, 424, 425, 385, 350, 300, 265, 232, 201, 183, 158, 146, 129, 132, 127, 126, 119, 122, 19, 23, 19, 18, 14, 9, 7, 6, 4, 
ve30vtd38milworkers/ate25atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 2, 3, 5, 5, 4, 7, 7, 8, 10, 15, 16, 24, 37, 41, 58, 82, 111, 133, 175, 215, 229, 278, 288, 307, 337, 343, 365, 354, 372, 377, 364, 358, 350, 316, 282, 257, 225, 200, 177, 170, 153, 157, 142, 153, 162, 147, 30, 28, 28, 28, 21, 12, 12, 9, 6, 
