index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
seeds120, 0, 120, 0, 9, 21, 28, 28, 30, 27, 28, 35, 38, 45, 55, 71, 92, 124, 163, 219, 292, 367, 451, 518, 557, 573, 536, 469, 397, 337, 279, 233, 194, 160, 136, 123, 104, 94, 87, 77, 70, 68, 63, 59, 56, 55, 50, 51, 47, 46, 46, 43, 2, 2, 1, 1, 1, 1, 0, 0, 0, 
seeds60, 0, 60, 0, 4, 10, 14, 15, 16, 15, 15, 18, 21, 27, 33, 41, 54, 75, 104, 137, 192, 252, 329, 410, 484, 540, 548, 541, 492, 418, 371, 295, 254, 208, 178, 149, 128, 112, 101, 90, 82, 76, 72, 65, 62, 62, 57, 55, 53, 50, 50, 45, 2, 1, 1, 1, 1, 1, 1, 0, 0, 
seeds30, 0, 30, 0, 2, 5, 6, 7, 7, 7, 7, 8, 10, 11, 14, 18, 25, 35, 45, 66, 93, 126, 171, 226, 287, 360, 405, 449, 475, 461, 443, 408, 376, 338, 297, 264, 225, 194, 169, 145, 125, 112, 100, 88, 83, 75, 68, 65, 61, 57, 55, 55, 2, 2, 1, 1, 1, 1, 0, 0, 0, 
seeds15, 0, 15, 0, 1, 3, 3, 4, 4, 3, 3, 4, 4, 5, 7, 9, 10, 13, 20, 27, 37, 51, 73, 98, 127, 169, 212, 262, 313, 351, 407, 435, 450, 442, 416, 375, 339, 301, 269, 231, 206, 185, 167, 144, 131, 116, 98, 88, 84, 79, 70, 66, 1, 2, 2, 1, 1, 1, 0, 0, 0, 
