index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
seeds120, 0, 120, 0, 5, 12, 16, 15, 13, 11, 9, 10, 8, 8, 7, 8, 9, 8, 8, 9, 10, 11, 12, 14, 18, 21, 27, 31, 36, 46, 48, 51, 50, 53, 49, 46, 41, 36, 35, 30, 27, 24, 22, 18, 17, 15, 14, 12, 11, 10, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
seeds60, 0, 60, 0, 2, 6, 7, 8, 7, 6, 4, 5, 4, 4, 4, 5, 4, 4, 5, 5, 7, 6, 6, 10, 11, 14, 17, 22, 30, 36, 41, 47, 52, 52, 55, 52, 51, 47, 45, 39, 35, 32, 28, 23, 22, 21, 17, 16, 15, 14, 12, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
seeds30, 0, 30, 0, 1, 3, 3, 4, 3, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 3, 3, 4, 4, 5, 6, 8, 11, 16, 20, 23, 30, 35, 41, 44, 48, 49, 50, 47, 48, 44, 44, 39, 36, 33, 30, 27, 24, 23, 19, 17, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
seeds15, 0, 15, 0, 1, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 3, 4, 6, 7, 9, 12, 16, 18, 23, 28, 32, 40, 43, 47, 47, 49, 48, 48, 44, 43, 39, 34, 34, 31, 29, 25, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
