index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
seeds120, 0, 120, 0, 10, 23, 31, 32, 34, 32, 34, 42, 44, 54, 66, 82, 104, 139, 178, 237, 311, 388, 476, 545, 586, 605, 572, 511, 442, 388, 333, 293, 261, 233, 218, 210, 201, 203, 199, 201, 207, 213, 220, 232, 241, 250, 262, 285, 301, 313, 329, 360, 80, 86, 86, 74, 60, 43, 31, 22, 19, 
seeds60, 0, 60, 0, 4, 12, 16, 17, 18, 18, 19, 22, 25, 31, 38, 47, 61, 83, 113, 146, 202, 264, 341, 423, 501, 559, 570, 561, 517, 446, 403, 332, 293, 253, 227, 204, 188, 179, 174, 170, 172, 168, 176, 180, 187, 197, 205, 214, 222, 237, 246, 260, 57, 62, 59, 51, 40, 30, 21, 16, 12, 
seeds30, 0, 30, 0, 2, 5, 7, 8, 8, 8, 8, 9, 12, 13, 17, 20, 27, 37, 49, 70, 97, 130, 176, 231, 293, 368, 414, 458, 485, 473, 456, 424, 393, 359, 319, 288, 255, 228, 205, 186, 170, 162, 157, 149, 147, 148, 149, 152, 154, 158, 164, 178, 32, 34, 35, 31, 22, 17, 12, 9, 8, 
seeds15, 0, 15, 0, 1, 3, 3, 4, 4, 4, 4, 5, 6, 6, 9, 11, 12, 15, 23, 31, 40, 55, 76, 103, 132, 175, 218, 269, 321, 358, 415, 445, 460, 454, 430, 392, 358, 324, 294, 258, 238, 221, 206, 189, 181, 172, 156, 153, 154, 157, 156, 161, 26, 29, 29, 24, 20, 13, 9, 8, 5, 
