index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 3, 5, 7, 9, 7, 8, 7, 8, 11, 10, 11, 18, 21, 26, 43, 58, 84, 110, 156, 204, 254, 317, 373, 437, 448, 458, 455, 442, 402, 361, 319, 262, 216, 180, 161, 135, 121, 97, 95, 81, 75, 65, 62, 59, 52, 50, 42, 42, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
ve30vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 3, 4, 8, 7, 6, 7, 8, 6, 9, 8, 12, 15, 19, 22, 37, 43, 64, 98, 122, 168, 236, 303, 363, 395, 476, 493, 473, 476, 426, 398, 347, 282, 246, 211, 157, 145, 124, 103, 94, 87, 74, 74, 59, 57, 55, 53, 48, 47, 1, 1, 2, 1, 0, 1, 0, 0, 0, 
ve70vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 2, 5, 8, 6, 7, 7, 6, 8, 8, 11, 13, 17, 26, 30, 45, 65, 85, 121, 155, 184, 244, 287, 327, 384, 399, 432, 418, 414, 405, 350, 322, 266, 242, 202, 166, 126, 119, 98, 86, 75, 61, 54, 51, 41, 42, 36, 32, 32, 2, 1, 1, 1, 1, 0, 1, 0, 0, 
ve70vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 2, 5, 6, 7, 8, 7, 5, 7, 8, 11, 10, 19, 24, 28, 45, 58, 77, 125, 168, 216, 294, 373, 417, 469, 508, 510, 455, 414, 384, 343, 293, 247, 213, 168, 149, 139, 108, 91, 79, 70, 64, 58, 55, 46, 45, 42, 34, 37, 2, 1, 1, 0, 0, 1, 0, 0, 0, 
ve30vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 1, 5, 7, 8, 9, 5, 6, 8, 10, 9, 12, 16, 22, 24, 44, 55, 83, 110, 154, 210, 273, 327, 384, 443, 448, 468, 443, 436, 419, 366, 329, 277, 241, 184, 167, 135, 129, 107, 83, 86, 85, 78, 68, 71, 57, 52, 48, 61, 1, 2, 1, 1, 1, 1, 0, 0, 0, 
ve30vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 0, 4, 6, 7, 5, 4, 7, 5, 6, 7, 5, 10, 13, 19, 22, 26, 46, 64, 90, 119, 163, 226, 275, 350, 391, 443, 448, 448, 434, 423, 387, 354, 317, 279, 232, 198, 173, 132, 122, 112, 102, 92, 78, 73, 71, 65, 59, 58, 1, 2, 1, 1, 2, 1, 1, 0, 0, 
ve70vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 1, 4, 9, 10, 7, 7, 8, 10, 8, 15, 15, 18, 26, 35, 49, 67, 105, 134, 185, 242, 320, 376, 440, 484, 485, 484, 450, 420, 380, 327, 286, 242, 193, 180, 139, 126, 110, 82, 95, 83, 76, 70, 59, 58, 60, 58, 51, 43, 1, 1, 1, 1, 0, 0, 1, 0, 0, 
ve70vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 1, 6, 7, 7, 8, 4, 7, 9, 9, 11, 13, 15, 22, 32, 45, 68, 85, 117, 167, 209, 265, 319, 381, 410, 452, 468, 453, 461, 400, 373, 325, 284, 230, 200, 170, 130, 132, 108, 100, 89, 75, 72, 71, 58, 58, 60, 49, 50, 2, 1, 1, 1, 0, 0, 0, 0, 0, 
ve30vtd17milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 3, 5, 7, 9, 7, 8, 7, 8, 11, 10, 11, 18, 21, 26, 43, 58, 84, 110, 156, 204, 254, 317, 373, 437, 448, 458, 455, 442, 402, 361, 319, 262, 216, 180, 161, 135, 121, 97, 95, 81, 75, 65, 62, 59, 52, 50, 42, 42, 1, 1, 1, 1, 1, 1, 1, 0, 0, 
ve30vtd38milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 30, 0, 3, 4, 8, 7, 6, 7, 8, 6, 9, 8, 12, 15, 19, 22, 37, 43, 64, 98, 122, 168, 236, 303, 363, 395, 476, 493, 473, 476, 426, 398, 347, 282, 246, 211, 157, 145, 124, 103, 94, 87, 74, 74, 59, 57, 55, 53, 48, 47, 1, 1, 2, 1, 0, 1, 0, 0, 0, 
