index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 2, 2, 1, 2, 1, 1, 2, 0, 1, 1, 0, 2, 1, 2, 2, 2, 2, 2, 1, 4, 4, 7, 7, 13, 16, 23, 27, 30, 34, 35, 41, 50, 51, 43, 44, 43, 37, 38, 33, 29, 29, 28, 21, 24, 20, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 5, 3, 8, 16, 14, 14, 22, 25, 34, 30, 31, 37, 38, 38, 40, 42, 41, 35, 39, 38, 33, 30, 28, 33, 26, 24, 23, 17, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
ve70vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 3, 3, 5, 7, 12, 11, 16, 14, 21, 22, 31, 35, 34, 42, 40, 42, 39, 36, 35, 36, 32, 28, 19, 23, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
ve70vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 2, 2, 1, 1, 2, 0, 1, 3, 3, 4, 6, 7, 10, 16, 21, 22, 26, 36, 39, 51, 55, 54, 51, 50, 51, 42, 39, 31, 32, 27, 22, 21, 17, 16, 0, 1, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 5, 6, 7, 11, 12, 18, 20, 24, 25, 40, 40, 35, 50, 41, 48, 51, 39, 46, 38, 36, 35, 39, 31, 30, 23, 24, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 4, 2, 1, 2, 2, 2, 2, 1, 2, 0, 1, 2, 2, 2, 2, 2, 2, 4, 5, 6, 9, 10, 16, 23, 24, 32, 40, 44, 47, 49, 55, 52, 47, 48, 47, 41, 39, 40, 38, 28, 27, 25, 20, 20, 19, 15, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
ve70vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 2, 3, 4, 4, 5, 6, 9, 14, 17, 21, 29, 38, 50, 45, 46, 54, 55, 51, 53, 47, 43, 35, 34, 37, 29, 21, 20, 19, 20, 12, 13, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
ve70vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 2, 2, 1, 2, 1, 1, 2, 1, 0, 0, 1, 0, 1, 2, 2, 3, 3, 5, 6, 7, 9, 12, 13, 20, 20, 34, 32, 36, 47, 51, 51, 48, 47, 47, 44, 48, 35, 42, 34, 29, 26, 25, 24, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd17milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 2, 2, 1, 2, 1, 1, 2, 0, 1, 1, 0, 2, 1, 2, 2, 2, 2, 2, 1, 4, 4, 7, 7, 13, 16, 23, 27, 30, 34, 35, 41, 50, 51, 43, 44, 43, 37, 38, 33, 29, 29, 28, 21, 24, 20, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
ve30vtd38milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 5, 3, 8, 16, 14, 14, 22, 25, 34, 30, 31, 37, 38, 38, 40, 42, 41, 35, 39, 38, 33, 30, 28, 33, 26, 24, 23, 17, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
