index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
seeds120, 0, 120, 0, 11, 24, 34, 37, 32, 31, 35, 49, 41, 50, 69, 81, 106, 143, 176, 243, 325, 422, 489, 573, 625, 628, 574, 496, 438, 344, 314, 265, 231, 223, 200, 184, 189, 186, 179, 198, 187, 190, 189, 216, 228, 220, 238, 260, 279, 285, 296, 327, 75, 78, 79, 71, 56, 36, 27, 24, 19, 
seeds60, 0, 60, 0, 4, 9, 15, 19, 17, 18, 15, 22, 25, 34, 41, 47, 70, 85, 124, 162, 235, 297, 368, 453, 538, 579, 568, 543, 506, 427, 370, 319, 261, 233, 215, 197, 191, 178, 166, 171, 180, 168, 174, 187, 188, 218, 208, 223, 229, 246, 266, 260, 60, 63, 58, 51, 39, 29, 23, 14, 9, 
seeds30, 0, 30, 0, 2, 4, 7, 8, 7, 8, 9, 8, 10, 16, 15, 19, 27, 36, 44, 66, 90, 118, 170, 218, 285, 363, 409, 476, 515, 506, 498, 459, 417, 360, 313, 262, 221, 194, 177, 164, 146, 134, 134, 134, 125, 127, 123, 132, 135, 126, 124, 142, 27, 30, 26, 26, 12, 12, 10, 6, 5, 
seeds15, 0, 15, 0, 1, 2, 4, 4, 5, 5, 8, 6, 8, 9, 11, 15, 16, 18, 31, 39, 54, 70, 94, 135, 161, 213, 267, 307, 377, 388, 445, 499, 491, 468, 454, 407, 358, 311, 286, 240, 221, 203, 184, 183, 180, 169, 161, 176, 177, 178, 191, 192, 32, 42, 44, 34, 29, 14, 14, 9, 7, 
