index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
seeds120, 0, 120, 0, 9, 21, 31, 31, 27, 25, 29, 39, 36, 40, 56, 71, 96, 131, 161, 225, 307, 402, 466, 547, 598, 598, 537, 456, 391, 301, 260, 210, 169, 150, 125, 110, 98, 85, 78, 74, 61, 57, 53, 54, 50, 46, 49, 45, 48, 42, 40, 42, 2, 1, 3, 2, 1, 1, 1, 1, 0, 
seeds60, 0, 60, 0, 4, 9, 13, 17, 15, 16, 12, 19, 21, 31, 37, 40, 64, 79, 117, 153, 225, 285, 357, 440, 522, 559, 547, 522, 478, 398, 341, 278, 225, 184, 166, 142, 124, 106, 91, 81, 84, 73, 69, 65, 61, 72, 55, 58, 51, 55, 54, 43, 2, 1, 2, 0, 1, 1, 0, 0, 0, 
seeds30, 0, 30, 0, 2, 4, 6, 7, 7, 7, 8, 6, 9, 14, 13, 17, 24, 34, 43, 63, 88, 115, 167, 216, 281, 358, 403, 470, 510, 496, 489, 451, 405, 346, 295, 242, 197, 166, 149, 130, 110, 92, 89, 79, 73, 69, 59, 64, 57, 50, 46, 47, 4, 2, 1, 1, 0, 1, 0, 0, 0, 
seeds15, 0, 15, 0, 1, 2, 4, 4, 4, 4, 6, 5, 6, 7, 8, 13, 13, 16, 27, 34, 50, 65, 88, 129, 155, 201, 257, 296, 365, 377, 430, 482, 473, 448, 431, 381, 328, 277, 246, 198, 173, 149, 126, 116, 98, 87, 77, 76, 75, 62, 63, 58, 1, 2, 2, 2, 2, 1, 1, 0, 0, 
