index, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 
ve30vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 3, 4, 3, 5, 3, 3, 6, 2, 4, 7, 9, 11, 13, 15, 29, 38, 48, 67, 92, 112, 150, 185, 195, 223, 236, 250, 261, 260, 246, 239, 232, 240, 235, 221, 217, 198, 165, 160, 154, 128, 134, 141, 157, 167, 174, 181, 178, 2, 3, 3, 4, 2, 1, 1, 0, 0, 
ve30vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 6, 5, 5, 5, 6, 4, 5, 5, 6, 7, 13, 15, 14, 21, 39, 47, 69, 108, 126, 195, 232, 281, 345, 396, 424, 429, 466, 445, 420, 395, 377, 316, 268, 228, 180, 153, 132, 122, 98, 87, 94, 75, 66, 61, 59, 51, 1, 1, 1, 2, 1, 0, 0, 0, 0, 
ve70vtd17active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 4, 5, 3, 4, 4, 7, 7, 9, 12, 14, 22, 30, 31, 47, 68, 85, 126, 156, 202, 251, 282, 345, 383, 419, 436, 424, 401, 375, 354, 312, 258, 227, 180, 156, 130, 112, 88, 91, 65, 59, 55, 57, 50, 38, 41, 1, 1, 1, 1, 0, 1, 0, 0, 1, 
ve70vtd38active/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 3, 4, 4, 3, 5, 3, 4, 7, 5, 6, 11, 16, 22, 31, 48, 63, 95, 123, 175, 231, 291, 353, 438, 436, 493, 466, 449, 418, 393, 339, 313, 257, 228, 186, 156, 118, 111, 94, 72, 74, 71, 55, 54, 54, 42, 43, 38, 1, 1, 1, 1, 1, 1, 0, 0, 0, 
ve30vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 3, 4, 4, 3, 2, 4, 4, 5, 4, 5, 6, 9, 12, 14, 22, 29, 41, 66, 87, 114, 151, 184, 222, 247, 274, 278, 281, 280, 265, 265, 270, 304, 315, 342, 349, 332, 335, 272, 259, 207, 179, 158, 126, 116, 107, 90, 2, 1, 2, 1, 1, 0, 0, 1, 1, 
ve30vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 2, 3, 4, 4, 4, 4, 6, 5, 2, 7, 4, 5, 5, 9, 15, 12, 23, 29, 51, 70, 94, 128, 182, 225, 305, 345, 379, 411, 414, 367, 331, 283, 220, 201, 166, 142, 129, 105, 114, 106, 115, 135, 146, 163, 181, 178, 180, 177, 1, 2, 3, 2, 3, 3, 1, 0, 0, 
ve70vtd17allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 2, 4, 3, 4, 3, 4, 4, 5, 7, 9, 5, 9, 15, 26, 25, 37, 56, 81, 111, 141, 201, 263, 320, 370, 422, 430, 416, 394, 358, 320, 308, 283, 272, 277, 253, 236, 211, 176, 159, 132, 116, 107, 99, 77, 79, 67, 69, 2, 1, 1, 1, 1, 1, 0, 0, 0, 
ve70vtd38allonpost/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 1, 4, 3, 2, 4, 5, 4, 7, 6, 10, 11, 12, 23, 27, 46, 55, 87, 126, 163, 214, 288, 368, 454, 508, 534, 529, 508, 439, 390, 330, 263, 224, 185, 166, 147, 116, 100, 93, 89, 75, 75, 67, 58, 57, 58, 51, 42, 47, 2, 2, 2, 1, 1, 1, 0, 0, 0, 
ve30vtd17milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 3, 4, 3, 5, 3, 3, 6, 2, 4, 7, 9, 11, 13, 15, 29, 38, 48, 67, 92, 112, 150, 185, 195, 223, 236, 250, 261, 260, 246, 239, 232, 240, 235, 221, 217, 198, 165, 160, 154, 128, 134, 141, 157, 167, 174, 181, 178, 2, 3, 3, 4, 2, 1, 1, 0, 0, 
ve30vtd38milworkers/ate87atl10apl10/sq90sqg25sqtd10sql7, 0, 15, 0, 0, 2, 6, 5, 5, 5, 6, 4, 5, 5, 6, 7, 13, 15, 14, 21, 39, 47, 69, 108, 126, 195, 232, 281, 345, 396, 424, 429, 466, 445, 420, 395, 377, 316, 268, 228, 180, 153, 132, 122, 98, 87, 94, 75, 66, 61, 59, 51, 1, 1, 1, 2, 1, 0, 0, 0, 0, 
